high higher bad JJ_JJR worse
higher high worse JJR_JJ bad
low lower short JJ_JJR shorter
lower low shorter JJR_JJ short
low lower old JJ_JJR older
lower low older JJR_JJ old
old older short JJ_JJR shorter
older old shorter JJR_JJ short
young youngest deep JJ_JJS deepest
youngest young deepest JJS_JJ deep
young younger close JJ_JJR closer
younger young closer JJR_JJ close
young youngest close JJ_JJS closest
youngest young closest JJS_JJ close
youngest younger closest JJS_JJR closer
younger youngest closer JJR_JJS closest
bad worse young JJ_JJR younger
worse bad younger JJR_JJ young
strong stronger long JJ_JJR longer
stronger strong longer JJR_JJ long
year years law NN_NNS laws
years year laws NNS_NN law
year years product NN_NNS products
years year products NNS_NN product
year years change NN_NNS changes
years year changes NNS_NN change
year years citizen NN_NNS citizens
years year citizens NNS_NN citizen
year years teacher NN_NNS teachers
years year teachers NNS_NN teacher
person people minute NN_NNS minutes
people person minutes NNS_NN minute
person people dollar NN_NNS dollars
people person dollars NNS_NN dollar
person people area NN_NNS areas
people person areas NNS_NN area
person people city NN_NNS cities
people person cities NNS_NN city
official officials month NN_NNS months
officials official months NNS_NN month
official officials condition NN_NNS conditions
officials official conditions NNS_NN condition
official officials country NN_NNS countries
officials official countries NNS_NN country
member members school NN_NNS schools
members member schools NNS_NN school
member members parent NN_NNS parents
members member parents NNS_NN parent
member members student NN_NNS students
members member students NNS_NN student
child children worker NN_NNS workers
children child workers NNS_NN worker
child children mile NN_NNS miles
children child miles NNS_NN mile
student students right NN_NNS rights
students student rights NNS_NN right
student students parent NN_NNS parents
students student parents NNS_NN parent
student students company NN_NNS companies
students student companies NNS_NN company
student students job NN_NNS jobs
students student jobs NNS_NN job
student students authority NN_NNS authorities
students student authorities NNS_NN authority
problem problems rule NN_NNS rules
problems problem rules NNS_NN rule
problem problems report NN_NNS reports
problems problem reports NNS_NN report
problem problems program NN_NNS programs
problems problem programs NNS_NN program
problem problems building NN_NNS buildings
problems problem buildings NNS_NN building
problem problems official NN_NNS officials
problems problem officials NNS_NN official
day days dollar NN_NNS dollars
days day dollars NNS_NN dollar
day days rule NN_NNS rules
days day rules NNS_NN rule
day days citizen NN_NNS citizens
days day citizens NNS_NN citizen
day days question NN_NNS questions
days day questions NNS_NN question
day days officer NN_NNS officers
days day officers NNS_NN officer
month months city NN_NNS cities
months month cities NNS_NN city
month months expert NN_NNS experts
months month experts NNS_NN expert
month months teacher NN_NNS teachers
months month teachers NNS_NN teacher
month months authority NN_NNS authorities
months month authorities NNS_NN authority
company companies voter NN_NNS voters
companies company voters NNS_NN voter
company companies sport NN_NNS sports
companies company sports NNS_NN sport
company companies officer NN_NNS officers
companies company officers NNS_NN officer
company companies price NN_NNS prices
companies company prices NNS_NN price
leader leaders school NN_NNS schools
leaders leader schools NNS_NN school
leader leaders foot NN_NNS feet
leaders leader feet NNS_NN foot
leader leaders report NN_NNS reports
leaders leader reports NNS_NN report
leader leaders official NN_NNS officials
leaders leader officials NNS_NN official
group groups month NN_NNS months
groups group months NNS_NN month
group groups minute NN_NNS minutes
groups group minutes NNS_NN minute
group groups loss NN_NNS losses
groups group losses NNS_NN loss
group groups game NN_NNS games
groups group games NNS_NN game
group groups agency NN_NNS agencies
groups group agencies NNS_NN agency
program programs time NN_NNS times
programs program times NNS_NN time
program programs person NN_NNS people
programs program people NNS_NN person
program programs weapon NN_NNS weapons
programs program weapons NNS_NN weapon
program programs family NN_NNS families
programs program families NNS_NN family
program programs authority NN_NNS authorities
programs program authorities NNS_NN authority
issue issues case NN_NNS cases
issues issue cases NNS_NN case
issue issues authority NN_NNS authorities
issues issue authorities NNS_NN authority
issue issues car NN_NNS cars
issues issue cars NNS_NN car
school schools person NN_NNS people
schools school people NNS_NN person
school schools student NN_NNS students
schools school students NNS_NN student
player players time NN_NNS times
players player times NNS_NN time
player players dollar NN_NNS dollars
players player dollars NNS_NN dollar
player players day NN_NNS days
players player days NNS_NN day
week weeks condition NN_NNS conditions
weeks week conditions NNS_NN condition
week weeks rule NN_NNS rules
weeks week rules NNS_NN rule
week weeks standard NN_NNS standards
weeks week standards NNS_NN standard
week weeks parent NN_NNS parents
weeks week parents NNS_NN parent
week weeks officer NN_NNS officers
weeks week officers NNS_NN officer
time times country NN_NNS countries
times time countries NNS_NN country
time times year NN_NNS years
times time years NNS_NN year
time times citizen NN_NNS citizens
times time citizens NNS_NN citizen
man men drug NN_NNS drugs
men man drugs NNS_NN drug
man men report NN_NNS reports
men man reports NNS_NN report
man men teacher NN_NNS teachers
men man teachers NNS_NN teacher
service services voter NN_NNS voters
services service voters NNS_NN voter
service services patient NN_NNS patients
services service patients NNS_NN patient
service services man NN_NNS men
services service men NNS_NN man
service services price NN_NNS prices
services service prices NNS_NN price
parent parents product NN_NNS products
parents parent products NNS_NN product
parent parents leader NN_NNS leaders
parents parent leaders NNS_NN leader
parent parents car NN_NNS cars
parents parent cars NNS_NN car
right rights member NN_NNS members
rights right members NNS_NN member
right rights event NN_NNS events
rights right events NNS_NN event
right rights officer NN_NNS officers
rights right officers NNS_NN officer
worker workers party NN_NNS parties
workers worker parties NNS_NN party
worker workers case NN_NNS cases
workers worker cases NNS_NN case
worker workers man NN_NNS men
workers worker men NNS_NN man
worker workers officer NN_NNS officers
workers worker officers NNS_NN officer
officer officers right NN_NNS rights
officers officer rights NNS_NN right
officer officers hour NN_NNS hours
officers officer hours NNS_NN hour
officer officers sport NN_NNS sports
officers officer sports NNS_NN sport
area areas person NN_NNS people
areas area people NNS_NN person
area areas system NN_NNS systems
areas area systems NNS_NN system
area areas talk NN_NNS talks
areas area talks NNS_NN talk
area areas official NN_NNS officials
areas area officials NNS_NN official
plan plans question NN_NNS questions
plans plan questions NNS_NN question
plan plans leader NN_NNS leaders
plans plan leaders NNS_NN leader
hour hours home NN_NNS homes
hours hour homes NNS_NN home
hour hours life NN_NNS lives
hours hour lives NNS_NN life
hour hours law NN_NNS laws
hours hour laws NNS_NN law
hour hours issue NN_NNS issues
hours hour issues NNS_NN issue
hour hours group NN_NNS groups
hours hour groups NNS_NN group
case cases rate NN_NNS rates
cases case rates NNS_NN rate
case cases minute NN_NNS minutes
cases case minutes NNS_NN minute
case cases game NN_NNS games
cases case games NNS_NN game
case cases point NN_NNS points
cases case points NNS_NN point
voter voters worker NN_NNS workers
voters voter workers NNS_NN worker
voter voters group NN_NNS groups
voters voter groups NNS_NN group
voter voters student NN_NNS students
voters voter students NNS_NN student
voter voters family NN_NNS families
voters voter families NNS_NN family
game games time NN_NNS times
games game times NNS_NN time
game games hour NN_NNS hours
games game hours NNS_NN hour
game games standard NN_NNS standards
games game standards NNS_NN standard
game games officer NN_NNS officers
games game officers NNS_NN officer
change changes case NN_NNS cases
changes change cases NNS_NN case
change changes city NN_NNS cities
changes change cities NNS_NN city
change changes teacher NN_NNS teachers
changes change teachers NNS_NN teacher
sale sales month NN_NNS months
sales sale months NNS_NN month
sale sales drug NN_NNS drugs
sales sale drugs NNS_NN drug
sale sales man NN_NNS men
sales sale men NNS_NN man
sale sales official NN_NNS officials
sales sale officials NNS_NN official
loss losses drug NN_NNS drugs
losses loss drugs NNS_NN drug
loss losses friend NN_NNS friends
losses loss friends NNS_NN friend
loss losses law NN_NNS laws
losses loss laws NNS_NN law
home homes member NN_NNS members
homes home members NNS_NN member
home homes city NN_NNS cities
homes home cities NNS_NN city
home homes question NN_NNS questions
homes home questions NNS_NN question
point points problem NN_NNS problems
points point problems NNS_NN problem
point points citizen NN_NNS citizens
points point citizens NNS_NN citizen
point points question NN_NNS questions
points point questions NNS_NN question
point points event NN_NNS events
points point events NNS_NN event
job jobs rate NN_NNS rates
jobs job rates NNS_NN rate
job jobs week NN_NNS weeks
jobs job weeks NNS_NN week
job jobs talk NN_NNS talks
jobs job talks NNS_NN talk
job jobs agency NN_NNS agencies
jobs job agencies NNS_NN agency
city cities party NN_NNS parties
cities city parties NNS_NN party
city cities minute NN_NNS minutes
cities city minutes NNS_NN minute
city cities product NN_NNS products
cities city products NNS_NN product
city cities man NN_NNS men
cities city men NNS_NN man
price prices voter NN_NNS voters
prices price voters NNS_NN voter
price prices product NN_NNS products
prices price products NNS_NN product
price prices student NN_NNS students
prices price students NNS_NN student
authority authorities drug NN_NNS drugs
authorities authority drugs NNS_NN drug
authority authorities worker NN_NNS workers
authorities authority workers NNS_NN worker
authority authorities minute NN_NNS minutes
authorities authority minutes NNS_NN minute
authority authorities year NN_NNS years
authorities authority years NNS_NN year
friend friends service NN_NNS services
friends friend services NNS_NN service
friend friends mile NN_NNS miles
friends friend miles NNS_NN mile
friend friends authority NN_NNS authorities
friends friend authorities NNS_NN authority
question questions service NN_NNS services
questions question services NNS_NN service
question questions worker NN_NNS workers
questions question workers NNS_NN worker
candidate candidates project NN_NNS projects
candidates candidate projects NNS_NN project
candidate candidates sale NN_NNS sales
candidates candidate sales NNS_NN sale
candidate candidates job NN_NNS jobs
candidates candidate jobs NNS_NN job
country countries right NN_NNS rights
countries country rights NNS_NN right
country countries city NN_NNS cities
countries country cities NNS_NN city
family families building NN_NNS buildings
families family buildings NNS_NN building
family families issue NN_NNS issues
families family issues NNS_NN issue
family families authority NN_NNS authorities
families family authorities NNS_NN authority
family families price NN_NNS prices
families family prices NNS_NN price
rule rules hour NN_NNS hours
rules rule hours NNS_NN hour
rule rules product NN_NNS products
rules rule products NNS_NN product
rule rules citizen NN_NNS citizens
rules rule citizens NNS_NN citizen
rule rules officer NN_NNS officers
rules rule officers NNS_NN officer
project projects event NN_NNS events
projects project events NNS_NN event
project projects teacher NN_NNS teachers
projects project teachers NNS_NN teacher
project projects car NN_NNS cars
projects project cars NNS_NN car
rate rates drug NN_NNS drugs
rates rate drugs NNS_NN drug
rate rates day NN_NNS days
rates rate days NNS_NN day
