best better heaviest JJS_JJR heavier
better best heavier JJR_JJS heaviest
highest higher worst JJS_JJR worse
higher highest worse JJR_JJS worst
highest higher saddest JJS_JJR sadder
higher highest sadder JJR_JJS saddest
highest higher wildest JJS_JJR wilder
higher highest wilder JJR_JJS wildest
highest higher strictest JJS_JJR stricter
higher highest stricter JJR_JJS strictest
highest higher narrowest JJS_JJR narrower
higher highest narrower JJR_JJS narrowest
greatest greater earliest JJS_JJR earlier
greater greatest earlier JJR_JJS earliest
greatest greater fullest JJS_JJR fuller
greater greatest fuller JJR_JJS fullest
largest larger richest JJS_JJR richer
larger largest richer JJR_JJS richest
largest larger weakest JJS_JJR weaker
larger largest weaker JJR_JJS weakest
largest larger prettiest JJS_JJR prettier
larger largest prettier JJR_JJS prettiest
largest larger coolest JJS_JJR cooler
larger largest cooler JJR_JJS coolest
largest larger luckiest JJS_JJR luckier
larger largest luckier JJR_JJS luckiest
oldest older lightest JJS_JJR lighter
older oldest lighter JJR_JJS lightest
oldest older shortest JJS_JJR shorter
older oldest shorter JJR_JJS shortest
oldest older fewest JJS_JJR fewer
older oldest fewer JJR_JJS fewest
oldest older sharpest JJS_JJR sharper
older oldest sharper JJR_JJS sharpest
oldest older tallest JJS_JJR taller
older oldest taller JJR_JJS tallest
smallest smaller nicest JJS_JJR nicer
smaller smallest nicer JJR_JJS nicest
smallest smaller broadest JJS_JJR broader
smaller smallest broader JJR_JJS broadest
smallest smaller greatest JJS_JJR greater
smaller smallest greater JJR_JJS greatest
easiest easier wildest JJS_JJR wilder
easier easiest wilder JJR_JJS wildest
earliest earlier narrowest JJS_JJR narrower
earlier earliest narrower JJR_JJS narrowest
earliest earlier coldest JJS_JJR colder
earlier earliest colder JJR_JJS coldest
earliest earlier deepest JJS_JJR deeper
earlier earliest deeper JJR_JJS deepest
earliest earlier tallest JJS_JJR taller
earlier earliest taller JJR_JJS tallest
longest longer heaviest JJS_JJR heavier
longer longest heavier JJR_JJS heaviest
longest longer smartest JJS_JJR smarter
longer longest smarter JJR_JJS smartest
worst worse mildest JJS_JJR milder
worse worst milder JJR_JJS mildest
worst worse weakest JJS_JJR weaker
worse worst weaker JJR_JJS weakest
worst worse liveliest JJS_JJR livelier
worse worst livelier JJR_JJS liveliest
fewest fewer clearest JJS_JJR clearer
fewer fewest clearer JJR_JJS clearest
few fewer friendly JJ_JJR friendlier
fewer few friendlier JJR_JJ friendly
fewest fewer strongest JJS_JJR stronger
fewer fewest stronger JJR_JJS strongest
biggest bigger toughest JJS_JJR tougher
bigger biggest tougher JJR_JJS toughest
biggest bigger funniest JJS_JJR funnier
bigger biggest funnier JJR_JJS funniest
biggest bigger nicest JJS_JJR nicer
bigger biggest nicer JJR_JJS nicest
biggest bigger greatest JJS_JJR greater
bigger biggest greater JJR_JJS greatest
strongest stronger poorest JJS_JJR poorer
stronger strongest poorer JJR_JJS poorest
strongest stronger longest JJS_JJR longer
stronger strongest longer JJR_JJS longest
strongest stronger hardest JJS_JJR harder
stronger strongest harder JJR_JJS hardest
strongest stronger wisest JJS_JJR wiser
stronger strongest wiser JJR_JJS wisest
closest closer earliest JJS_JJR earlier
closer closest earlier JJR_JJS earliest
closest closer saddest JJS_JJR sadder
