word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
inexpensive	cheap	A	8.72	2.22	2.11	1	0.79	1	0.81
impatient	anxious	A	6.03	2.38	1.68	1	0.47	1	1.22
unnecessary	necessary	A	0.63	1.56	1.8	1	0.41	0	0.61
sly	clever	A	7.25	2.03	1.79	1	0.21	0	1.41
harsh	cruel	A	8.18	2.23	2.11	1	0.21	0	1.66
friendly	generous	A	5.9	2.32	2.25	1	0.21	0	0.6
fragile	frigid	A	2.38	2.86	3.28	2	0.21	0	0.84
rough	frigid	A	2.47	3.83	3.28	2	0.21	0	1.37
modest	ashamed	A	2.65	2.21	1.74	1	0.14	0	1
dreary	dull	A	8.25	2.33	2.37	1	0.14	0	1.85
delightful	cheerful	A	6.58	2.38	2.34	1	0.14	0	1.56
elastic	flexible	A	7.78	3.73	2.64	2	0.14	0	1.09
bold	proud	A	3.97	2.43	2.07	1	0.12	0	1.36
modest	flexible	A	0.98	2.21	2.64	1	0	0	1.89
groom	bride	N	3.17	4.54	4.63	3	8.65	1	0.68
actress	actor	N	7.12	4.54	4.57	3	5.78	1	1.3
cow	cattle	N	9.52	4.96	4.64	4	4.39	1	0.79
sheep	lamb	N	8.42	4.9	4.97	4	3.33	1	1.51
anger	fury	N	8.73	2.41	2.89	2	3.06	1	1.89
mouse	cat	N	1.12	4.83	4.86	4	2.56	1	1.02
hound	fox	N	2.38	4.48	4.97	3	2.13	1	1.36
employer	employee	N	3.65	3.81	4.1	3	1.96	1	0.95
alcohol	brandy	N	6.98	4.76	4.81	4	1.93	1	0.57
victory	triumph	N	8.98	2.55	2.17	1	1.9	1	0.94
steak	meat	N	7.47	4.96	4.9	4	1.81	1	1.34
alcohol	gin	N	8.65	4.76	4.46	3	1.64	1	1.17
creator	maker	N	9.62	3.07	3.9	2	1.51	1	1.4
bubble	suds	N	8.57	4.6	4.59	3	1.42	1	1.59
absence	presence	N	0.4	2.31	2.72	1	1.38	1	1.5
dictionary	definition	N	6.25	4.62	3.07	3	1.14	1	1.06
cloud	fog	N	6	4.54	4.66	3	1.05	1	1.04
rat	mouse	N	7.78	4.85	4.83	4	0.87	1	0.93
cat	pet	N	5.95	4.86	4.71	4	0.82	1	1.41
bone	jaw	N	4.17	4.9	4.87	4	0.82	1	0.44
cereal	wheat	N	3.75	4.83	4.89	4	0.81	1	1.72
organ	liver	N	6.15	4.77	4.68	3	0.76	1	1.12
joy	pride	N	5	2.37	1.66	1	0.72	1	0.9
bird	turkey	N	6.58	5	4.89	4	0.67	1	1.6
competence	ability	N	7.5	1.78	1.81	1	0.63	1	0.6
sandwich	lunch	N	6.3	4.9	4.31	3	0.58	1	1.53
bride	princess	N	2.8	4.63	4.72	3	0.58	1	0.92
heroine	hero	N	8.78	4.21	3.07	2	0.56	1	1.79
insect	bee	N	6.07	4.89	4.88	4	0.55	1	1.34
crib	cradle	N	8.55	4.86	4.93	4	0.55	1	1.15
marijuana	herb	N	6.5	4.89	4.57	3	0.54	1	0.59
alcohol	whiskey	N	7.27	4.76	4.74	4	0.51	1	1.19
meat	bacon	N	5.8	4.9	4.9	4	0.5	1	1.5
sheep	cattle	N	4.77	4.9	4.64	4	0.47	1	0.47
lover	companion	N	5.97	3.68	3.75	3	0.42	0	0.8
cow	goat	N	2.93	4.96	5	4	0.42	0	0.59
rhythm	melody	N	6.12	3.07	3.71	2	0.36	0	1.27
gut	nerve	N	4.93	4.15	3.89	3	0.36	0	1.65
bone	ankle	N	3.82	4.9	4.81	4	0.35	0	0.69
helper	maid	N	5.58	3.39	4.64	3	0.34	0	0.44
bee	ant	N	2.78	4.88	4.86	4	0.34	0	1.04
emotion	passion	N	7.72	2.44	2.3	1	0.33	0	1.3
anarchy	chaos	N	7.93	2.12	2.79	1	0.33	0	1.35
seed	mustard	N	3.48	4.71	4.93	4	0.32	0	0.59
champion	winner	N	8.73	3.82	3.21	2	0.29	0	1.15
celebration	ceremony	N	7.72	3.47	3.57	2	0.29	0	0.61
