word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
smart	intelligent	A	9.2	1.75	2.46	1	7.11	1	0.67
smart	dumb	A	0.55	1.75	2.36	1	2.1	1	0.47
dumb	foolish	A	6.67	2.36	1.84	1	1.34	1	1.36
inexpensive	cheap	A	8.72	2.22	2.11	1	0.79	1	0.81
dumb	dense	A	7.27	2.36	3.14	2	0.68	1	0.43
impatient	anxious	A	6.03	2.38	1.68	1	0.47	1	1.22
unnecessary	necessary	A	0.63	1.56	1.8	1	0.41	0	0.61
dumb	intelligent	A	0.75	2.36	2.46	1	0.37	0	1.5
sly	clever	A	7.25	2.03	1.79	1	0.21	0	1.41
harsh	cruel	A	8.18	2.23	2.11	1	0.21	0	1.66
childish	foolish	A	5.5	2.52	1.84	1	0.21	0	1.45
friendly	generous	A	5.9	2.32	2.25	1	0.21	0	0.6
fragile	frigid	A	2.38	2.86	3.28	2	0.21	0	0.84
rough	frigid	A	2.47	3.83	3.28	2	0.21	0	1.37
modest	ashamed	A	2.65	2.21	1.74	1	0.14	0	1
dumb	clever	A	1.17	2.36	1.79	1	0.14	0	1.3
dreary	dull	A	8.25	2.33	2.37	1	0.14	0	1.85
delightful	cheerful	A	6.58	2.38	2.34	1	0.14	0	1.56
elastic	flexible	A	7.78	3.73	2.64	2	0.14	0	1.09
bold	proud	A	3.97	2.43	2.07	1	0.12	0	1.36
modest	flexible	A	0.98	2.21	2.64	1	0	0	1.89
groom	bride	N	3.17	4.54	4.63	3	8.65	1	0.68
actress	actor	N	7.12	4.54	4.57	3	5.78	1	1.3
teacher	instructor	N	9.25	4.52	4.26	3	5.66	1	1.53
bird	hawk	N	7.85	5	4.93	4	5.29	1	0.91
cow	cattle	N	9.52	4.96	4.64	4	4.39	1	0.79
sheep	lamb	N	8.42	4.9	4.97	4	3.33	1	1.51
anger	fury	N	8.73	2.41	2.89	2	3.06	1	1.89
hound	fox	N	2.38	4.48	4.97	3	2.13	1	1.36
employer	employee	N	3.65	3.81	4.1	3	1.96	1	0.95
alcohol	brandy	N	6.98	4.76	4.81	4	1.93	1	0.57
victory	triumph	N	8.98	2.55	2.17	1	1.9	1	0.94
steak	meat	N	7.47	4.96	4.9	4	1.81	1	1.34
alcohol	gin	N	8.65	4.76	4.46	3	1.64	1	1.17
creator	maker	N	9.62	3.07	3.9	2	1.51	1	1.4
bubble	suds	N	8.57	4.6	4.59	3	1.42	1	1.59
dictionary	definition	N	6.25	4.62	3.07	3	1.14	1	1.06
rat	mouse	N	7.78	4.85	4.83	4	0.87	1	0.93
cereal	wheat	N	3.75	4.83	4.89	4	0.81	1	1.72
capability	competence	N	7.62	1.93	1.78	1	0.77	1	0.84
abundance	plenty	N	8.97	2.21	2.39	1	0.77	1	1.02
horn	drum	N	2.68	5	4.96	4	0.77	1	0.47
organ	liver	N	6.15	4.77	4.68	3	0.76	1	1.12
joy	pride	N	5	2.37	1.66	1	0.72	1	0.9
competence	ability	N	7.5	1.78	1.81	1	0.63	1	0.6
insect	bee	N	6.07	4.89	4.88	4	0.55	1	1.34
crib	cradle	N	8.55	4.86	4.93	4	0.55	1	1.15
marijuana	herb	N	6.5	4.89	4.57	3	0.54	1	0.59
alcohol	whiskey	N	7.27	4.76	4.74	4	0.51	1	1.19
meat	bacon	N	5.8	4.9	4.9	4	0.5	1	1.5
sheep	cattle	N	4.77	4.9	4.64	4	0.47	1	0.47
lover	companion	N	5.97	3.68	3.75	3	0.42	0	0.8
cow	goat	N	2.93	4.96	5	4	0.42	0	0.59
rhythm	melody	N	6.12	3.07	3.71	2	0.36	0	1.27
gut	nerve	N	4.93	4.15	3.89	3	0.36	0	1.65
helper	maid	N	5.58	3.39	4.64	3	0.34	0	0.44
bee	ant	N	2.78	4.88	4.86	4	0.34	0	1.04
emotion	passion	N	7.72	2.44	2.3	1	0.33	0	1.3
