word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
smart	intelligent	A	9.2	1.75	2.46	1	7.11	1	0.67
happy	cheerful	A	9.55	2.56	2.34	1	5.85	1	2.18
weird	strange	A	8.93	1.59	1.86	1	4.26	1	1.3
wide	narrow	A	1.03	3.06	3.04	2	4.06	1	0.58
insane	crazy	A	9.57	1.77	2.37	1	2.09	1	0.92
sharp	dull	A	0.6	3.86	2.37	2	1.48	1	1.39
wonderful	terrific	A	8.63	1.82	2.07	1	1.17	1	1.63
narrow	broad	A	1.18	3.04	2.45	2	1	1	1.18
nice	generous	A	5	2.18	2.25	1	0.77	1	1.14
weird	normal	A	0.72	1.59	1.4	1	0.76	1	1.15
weird	odd	A	9.2	1.59	1.7	1	0.75	1	1.27
bad	immoral	A	7.62	1.68	1.59	1	0.74	1	0.98
guilty	ashamed	A	6.38	2.36	1.74	1	0.69	1	0.47
confident	sure	A	8.27	2.62	1.73	1	0.68	1	1.21
dumb	dense	A	7.27	2.36	3.14	2	0.68	1	0.43
nice	cruel	A	0.67	2.18	2.11	1	0.49	1	1.53
strong	proud	A	3.17	3.14	2.07	2	0.42	0	1.46
restless	young	A	1.6	2.46	3.16	2	0.41	0	0.85
dumb	intelligent	A	0.75	2.36	2.46	1	0.37	0	1.5
necessary	important	A	7.37	1.8	2.14	1	0.34	0	1.36
bad	terrific	A	0.65	1.68	2.07	1	0.28	0	1.43
honest	guilty	A	1.18	1.66	2.36	1	0.27	0	1.68
easy	flexible	A	4.1	2.07	2.64	1	0.27	0	1.08
essential	necessary	A	8.97	1.52	1.8	1	0.21	0	1.11
childish	foolish	A	5.5	2.52	1.84	1	0.21	0	1.45
scarce	rare	A	9.17	2.57	1.96	1	0.21	0	1.21
long	narrow	A	3.57	3.18	3.04	2	0.21	0	1.62
bizarre	strange	A	9.37	1.79	1.86	1	0.2	0	1.54
illegal	immoral	A	4.28	2.37	1.59	1	0.2	0	1.57
dull	funny	A	0.55	2.37	2.5	1	0.2	0	1.76
exotic	rare	A	8.05	2.11	1.96	1	0.14	0	0.93
dumb	clever	A	1.17	2.36	1.79	1	0.14	0	1.3
delightful	wonderful	A	8.65	2.38	1.82	1	0.14	0	1.29
noticeable	obvious	A	8.48	2.29	2.07	1	0.14	0	1.69
afraid	anxious	A	5.07	2.7	1.68	1	0.14	0	1.28
formal	proper	A	8.02	2.7	1.78	1	0.14	0	1.31
unhappy	mad	A	5.95	2.04	2.76	1	0.14	0	1.36
dirty	cheap	A	1.6	4.23	2.11	2	0.14	0	1.1
hard	dense	A	5.9	3.76	3.14	2	0.14	0	1
sly	strange	A	1.97	2.03	1.86	1	0	0	1.07
strange	sly	A	2.07	1.86	2.03	1	0	0	0.51
sly	tough	A	0.58	2.03	2.5	1	0	0	1.01
terrific	mad	A	0.4	2.07	2.76	1	0	0	0.86
large	flexible	A	0.48	3.37	2.64	2	0	0	1.59
dirty	narrow	A	0.3	4.23	3.04	2	0	0	0.89
book	text	N	6.35	4.9	4.93	4	8.81	1	1.43
horse	mare	N	8.33	5	4.75	4	7.4	1	0.73
friend	buddy	N	8.78	3.07	3.48	2	6.87	1	0.93
student	pupil	N	9.35	4.92	4.55	3	6.83	1	1.11
plane	jet	N	8.1	4.92	4.77	4	6.62	1	1.24
horse	colt	N	7.07	5	4.96	4	6.54	1	0.84
teacher	instructor	N	9.25	4.52	4.26	3	5.66	1	1.53
movie	film	N	8.87	4.59	4.71	3	5.43	1	1.72
bird	hawk	N	7.85	5	4.93	4	5.29	1	0.91
word	dictionary	N	3.68	3.56	4.62	3	5.2	1	1.56
money	salary	N	7.88	4.54	3.69	3	5.16	1	1.11
dog	cat	N	1.75	4.85	4.86	4	5.13	1	1.3
area	region	N	9.47	3.72	3.19	2	5.12	1	0.58
sunset	sunrise	N	2.47	4.54	4.69	3	4.8	1	1.12
taxi	cab	N	9.2	4.93	4.88	4	3.86	1	1.23
tree	maple	N	5.53	5	4.46	3	3.67	1	1.19
disease	infection	N	7.15	3.45	4.1	3	3.45	1	1.08
lady	gentleman	N	3.42	4.33	3.57	3	3.29	1	1.08
boat	anchor	N	2.25	4.93	4.77	4	3.25	1	1.1
priest	monk	N	6.28	4.77	4.35	3	3.23	1	0.61
toe	finger	N	4.68	4.93	5	4	3.22	1	0.55
date	calendar	N	4.42	3.9	4.62	3	3.05	1	1.5
hand	thumb	N	3.88	4.72	4.96	4	2.84	1	0.44
mud	dirt	N	7.32	4.86	4.86	4	2.76	1	0.48
hallway	corridor	N	9.28	4.74	4.72	3	2.7	1	0.76
way	manner	N	7.62	2.34	1.62	1	2.56	1	0.44
death	burial	N	4.93	3.73	3.93	3	2.46	1	1.88
music	melody	N	6.98	4.31	3.71	3	2.43	1	1.36
beer	alcohol	N	7.5	4.88	4.76	4	2.4	1	1.07
storm	hurricane	N	6.38	4.7	4.59	3	2.27	1	0.9
flower	violet	N	6.95	5	4.48	4	2.22	1	1.72
beach	seashore	N	8.33	4.79	4.63	3	2.15	1	0.47
rod	curtain	N	3.03	4.43	4.82	3	2.13	1	0.39
car	horn	N	2.57	4.89	5	4	2.04	1	0.79
hand	wrist	N	3.97	4.72	4.93	4	1.96	1	1.32
ball	cannon	N	2.58	5	4.79	4	1.96	1	1.82
motel	inn	N	8.17	4.93	4.64	4	1.86	1	0.39
nail	thumb	N	3.55	4.93	4.96	4	1.76	1	1.16
arm	wrist	N	3.57	4.96	4.93	4	1.55	1	1.33
wine	brandy	N	5.15	4.79	4.81	4	1.52	1	1.67
arm	muscle	N	3.72	4.96	4.5	3	1.45	1	0.83
bread	flour	N	3.33	4.92	4.97	4	1.42	1	1.25
death	tragedy	N	5.8	3.73	2.07	2	1.41	1	1.13
gun	cannon	N	5.68	4.83	4.79	4	1.35	1	1.56
grass	blade	N	4.57	4.93	4.93	4	1.34	1	1.53
ball	basket	N	1.67	5	5	4	1.33	1	1.08
church	choir	N	2.95	4.9	4.34	3	1.27	1	1.43
car	highway	N	3.4	4.89	4.72	4	1.15	1	1.77
door	cellar	N	1.97	4.81	4.68	4	1.13	1	1.47
chair	bench	N	6.67	4.58	4.87	3	1.09	1	1.22
clothes	fabric	N	5.87	4.76	4.63	3	0.96	1	1.66
sweater	jacket	N	7.15	4.78	4.86	4	0.96	1	1.13
alcohol	cocktail	N	6.73	4.76	4.4	3	0.93	1	1.2
molecule	atom	N	6.45	3.27	3.34	2	0.92	1	1.56
lens	camera	N	4.28	4.64	5	4	0.9	1	1.89
god	devil	N	1.8	2.07	3.41	2	0.87	1	1.1
loop	belt	N	3.1	4.26	4.9	3	0.87	1	1.74
car	cab	N	7.42	4.89	4.88	4	0.87	1	1.15
cat	lion	N	6.75	4.86	4.96	4	0.85	1	0.84
size	magnitude	N	6.33	3.13	2.43	2	0.84	1	0.59
door	corridor	N	3.73	4.81	4.72	4	0.79	1	1.11
capability	competence	N	7.62	1.93	1.78	1	0.77	1	0.84
abundance	plenty	N	8.97	2.21	2.39	1	0.77	1	1.02
sofa	chair	N	6.67	4.9	4.58	4	0.77	1	1.56
horn	drum	N	2.68	5	4.96	4	0.77	1	0.47
