word1	word2	POS	SimLex999	conc(w1)	conc(w2)	concQ	Assoc(USF)	SimAssoc333	SD(SimLex)
old	new	A	1.58	2.72	2.81	2	7.25	1	0.41
hard	difficult	A	8.77	3.76	2.21	2	5.94	1	1.19
hard	easy	A	0.95	3.76	2.07	2	5.82	1	0.93
fast	rapid	A	8.75	3.32	3.07	2	5.66	1	1.68
short	long	A	1.23	3.61	3.18	2	5.36	1	1.58
wide	narrow	A	1.03	3.06	3.04	2	4.06	1	0.58
bad	awful	A	8.42	1.68	1.92	1	3.41	1	1.74
easy	difficult	A	0.58	2.07	2.21	1	2.83	1	0.36
hard	simple	A	1.38	3.76	1.62	2	2.16	1	1.03
new	fresh	A	6.83	2.81	1.97	1	1.98	1	1.2
quick	rapid	A	9.7	2.89	3.07	2	1.38	1	1.14
narrow	broad	A	1.18	3.04	2.45	2	1	1	1.18
simple	easy	A	9.4	1.62	2.07	1	0.96	1	1.51
old	fresh	A	0.87	2.72	1.97	1	0.91	1	1.64
large	big	A	9.55	3.37	3.66	2	0.68	1	0.44
big	broad	A	6.73	3.66	2.45	2	0.47	1	1.68
bad	great	A	0.35	1.68	1.81	1	0.35	0	1.49
difficult	simple	A	0.87	2.21	1.62	1	0.34	0	0.44
certain	sure	A	8.42	1.68	1.73	1	0.23	0	1.29
different	normal	A	1.08	1.97	1.4	1	0.21	0	1.75
crucial	important	A	8.82	2.08	2.14	1	0.21	0	1.25
long	narrow	A	3.57	3.18	3.04	2	0.21	0	1.62
big	heavy	A	6.18	3.66	3.37	2	0.21	0	1.54
bad	guilty	A	4.2	1.68	2.36	1	0.2	0	1.47
modern	ancient	A	0.73	2.31	2.04	1	0.2	0	0.71
new	ancient	A	0.23	2.81	2.04	1	0.2	0	0.46
happy	young	A	2	2.56	3.16	2	0.2	0	0.47
easy	big	A	1.12	2.07	3.66	2	0.2	0	1.22
great	awful	A	1.17	1.81	1.92	1	0.15	0	1.53
laden	heavy	A	5.9	2.96	3.37	2	0.14	0	1.28
dirty	cheap	A	1.6	4.23	2.11	2	0.14	0	1.1
recent	new	A	7.05	2.5	2.81	2	0.13	0	1.05
fresh	wide	A	0.4	1.97	3.06	1	0	0	1.41
dirty	narrow	A	0.3	4.23	3.04	2	0	0	0.89
night	day	N	1.88	4.52	3.92	3	8.19	1	1.17
south	north	N	2.2	3.84	4.14	3	7.72	1	0.59
plane	airport	N	3.65	4.92	4.87	4	7.57	1	1.07
uncle	aunt	N	5.5	4.24	4.17	3	7.46	1	1.63
bottom	top	N	0.7	4.25	3.93	3	6.96	1	1.16
world	globe	N	6.67	4.36	4.59	3	6.79	1	0.67
plane	jet	N	8.1	4.92	4.77	4	6.62	1	1.24
woman	man	N	3.33	4.46	4.79	3	6.6	1	1.42
movie	film	N	8.87	4.59	4.71	3	5.43	1	1.72
dog	cat	N	1.75	4.85	4.86	4	5.13	1	1.3
navy	army	N	6.43	3.93	4.7	3	5	1	0.53
book	literature	N	7.53	4.9	4.1	3	4.86	1	0.45
clothes	closet	N	3.27	4.76	4.83	4	4.83	1	1.29
book	story	N	5.63	4.9	3.3	3	4.19	1	0.78
winter	summer	N	2.38	3.84	3.64	3	3.96	1	0.47
taxi	cab	N	9.2	4.93	4.88	4	3.86	1	1.23
tree	maple	N	5.53	5	4.46	3	3.67	1	1.19
roof	ceiling	N	7.58	4.79	4.85	4	3.5	1	0.77
disease	infection	N	7.15	3.45	4.1	3	3.45	1	1.08
boat	anchor	N	2.25	4.93	4.77	4	3.25	1	1.1
river	stream	N	7.3	4.89	4.5	3	3.21	1	0.81
sea	ocean	N	8.27	4.79	4.86	4	2.91	1	1.3
second	minute	N	4.62	3.3	3.04	2	2.84	1	1.15
wood	log	N	7.3	4.85	4.96	4	2.79	1	0.87
mouse	cat	N	1.12	4.83	4.86	4	2.56	1	1.02
beer	alcohol	N	7.5	4.88	4.76	4	2.4	1	1.07
mouth	lip	N	7.1	4.74	4.96	4	2.28	1	1.4
tax	income	N	2.38	3.89	3.07	2	2.25	1	1.15
paper	cardboard	N	5.38	4.93	4.9	4	2.2	1	1.22
floor	ceiling	N	1.73	4.8	4.85	4	2.18	1	0.97
rod	curtain	N	3.03	4.43	4.82	3	2.13	1	0.39
street	alley	N	5.48	4.75	4.82	4	2.07	1	1.62
boat	deck	N	4.28	4.93	4.77	4	2.04	1	1.39
car	horn	N	2.57	4.89	5	4	2.04	1	0.79
friend	guest	N	4.25	3.07	3.83	2	1.97	1	1.41
telephone	booth	N	3.63	4.96	4.42	3	1.88	1	1.1
motel	inn	N	8.17	4.93	4.64	4	1.86	1	0.39
band	orchestra	N	7.08	4.68	4.79	4	1.75	1	1.36
business	industry	N	7.02	3.28	3.29	2	1.73	1	1.1
winter	season	N	6.27	3.84	3.32	2	1.71	1	1.76
decade	century	N	3.48	3.19	2.83	2	1.64	1	1.36
hat	coat	N	2.67	4.88	4.97	4	1.62	1	1.76
window	door	N	3.33	4.86	4.81	4	1.56	1	1.6
house	apartment	N	5.8	5	4.9	4	1.54	1	1.4
glass	crystal	N	6.27	4.82	4.58	3	1.52	1	1.48
dinner	breakfast	N	3.33	4.5	4.43	3	1.49	1	1.72
death	tragedy	N	5.8	3.73	2.07	2	1.41	1	1.13
grass	blade	N	4.57	4.93	4.93	4	1.34	1	1.53
ball	basket	N	1.67	5	5	4	1.33	1	1.08
